S. No,State/UT,Year,Season,Scheme,Notified Districts,Insurance Units,Farmers,Application_Loanee,Application_Non-Loanee,Thousand Hect._Area Insured,Amount In Lac._Farmers Premium,Amount In Lac._State Premium,Amount In Lac._GOI Premium,Sum Insured (In Lac.),Gender (%)_Male,Gender (%)_Female,Gender (%)_Others,Category (%)_SC,Category (%)_ST,Category (%)_OBC,Category (%)_GEN,Type of Farmer (%)_Marginal,Type of Farmer (%)_Small,Type of Farmer (%)_Others,Claim Paid (In Lac.)_Prevented Sowing,Claim Paid (In Lac.)_Localized,Claim Paid (In Lac.)_Mid-term,Claim Paid (In Lac.)_Yield Based,Claim Paid (In Lac.)_Post Harvest,Claim Paid (In Lac.)_WBCIS,Claim Paid (In Lac.)_Total Claim Paid,Claim Paid (In Lac.)_Total Farmer Benefit(Actual)
11,MAHARASHTRA,2024,1,4,34,"2,695","75,41,744","6,74,862","1,57,01,442","10,709.84",163.76,"4,53,649.92","3,10,177.60","52,01,781.30",79.99,19.98,0.03,4.9,3.64,36.26,55.2,6.51,89.7,3.79,0,"3,21,221","71,073","3,928","74,143",0,"4,70,365","37,85,157"
2,CHHATTISGARH,2024,1,2,33,585,"7,814","8,772","10,313",7.28,404.53,430.97,430.93,"8,090.57",87.41,12.56,0.03,4.94,25.59,49.47,20,14.65,56.67,28.68,0,0,0,0,0,815,815,"5,222"
5,MAHARASHTRA,2024,1,2,25,880,"49,289","7,784","50,432",39.83,"2,195.01","2,141.65","2,008.32","43,893.17",81.14,18.83,0.03,1.65,1.3,27.9,69.15,9.06,82.31,8.63,0,0,0,0,0,"6,034","6,034","17,047"
4,CHHATTISGARH,2024,2,4,28,"4,322","2,78,039","10,63,019","2,48,857",390.45,"2,266.59","13,097.13","13,097.13","1,51,116.66",90.28,9.65,0.07,8.16,8.38,76.92,6.54,20.81,57.9,21.29,0,99,0,"13,793",199,0,"14,091","81,943"
11,MAHARASHTRA,2024,2,4,32,"2,148","28,46,069","1,10,050","52,98,309","3,944.19",54.08,"1,01,096.86","62,484.38","16,83,616.98",79.5,20.47,0.03,3.86,1.79,33.82,60.53,6.78,88.96,4.26,0,"7,287",0,"3,764","5,398",0,"16,449","89,037"
2,CHHATTISGARH,2024,2,2,33,545,"5,032","6,935","5,764",4.55,188.5,174.86,174.86,"3,769.98",91.6,8.4,0,6.69,21.71,47.51,24.09,14.27,51.82,33.91,0,0,0,0,0,272,272,"4,639"
5,MAHARASHTRA,2024,2,2,30,"1,271","1,37,409","87,958","1,23,083",154.09,"14,315.97","38,407.62","29,343.50","2,56,966.62",82.58,17.38,0.04,1.51,1.91,43.53,53.05,15.2,77.14,7.66,0,0,0,0,0,"96,999","96,999","1,24,804"
4,CHHATTISGARH,2025,1,4,33,"19,520","15,31,321","67,49,453","1,87,719","2,018.80","20,153.88","62,026.84","59,300.09","10,07,745.30",88.72,11.15,0.13,9.21,27.01,58.16,5.62,21.43,58.14,20.43,0,227,0,0,6,0,233,916
11,MAHARASHTRA,2025,1,4,34,"2,663","45,51,421","8,70,340","88,78,516","6,057.12","54,972.96","94,083.30","94,083.30","32,52,023.99",80.71,19.25,0.04,4.24,2.88,36.26,56.62,7.22,86.49,6.29,0,0,0,0,0,0,0,0
3,CHHATTISGARH,2025,1,2,33,583,"6,330","7,805","7,270",5.49,296.04,336.9,336.75,"5,920.73",87.49,12.46,0.05,5.74,26.94,46.95,20.37,16.36,57.87,25.77,0,0,0,0,0,0,0,0
6,MAHARASHTRA,2025,1,2,25,986,"44,272","5,679","46,411",36.22,"1,969.78","2,378.13","2,201.28","39,393.67",81.88,18.09,0.03,1.78,1.69,29.99,66.54,9.32,83.25,7.43,0,0,0,0,0,0,0,0
3,CHHATTISGARH,2025,2,4,27,"4,451","2,67,632","10,47,370","2,46,136",379.99,"2,329.91","13,408.81","13,408.81","1,55,353.23",90.39,9.52,0.09,8.39,8.71,75.1,7.8,21.05,58.62,20.33,0,0,0,0,0,0,0,0
10,MAHARASHTRA,2025,2,4,32,"1,998","7,91,386","1,20,793","13,65,062","1,033.26","4,281.07",193.96,193.96,"4,28,120.67",80.72,19.24,0.04,3.9,1.29,37.69,57.12,7.47,84.7,7.83,0,0,0,0,0,0,0,0
1,CHHATTISGARH,2025,2,2,33,575,"4,930","10,318","5,877",4.74,191.49,185.93,185.93,"3,829.71",92.49,7.51,0,4.98,20.04,39.81,35.17,11.51,63.41,25.08,0,0,0,0,0,0,0,0
4,MAHARASHTRA,2025,2,2,30,"1,339","1,75,084","85,954","1,83,093",208.85,"18,838.28","51,006.87","39,685.14","3,46,164.52",81.84,18.13,0.03,1.72,2.19,42.99,53.1,13.18,80.13,6.69,0,0,0,0,0,0,0,0
