S. No,State/UT,Year,Season,Scheme,District Name,Insurance Units,Farmers,Application_Loanee,Application_Non-Loanee,Thousand Hect._Area Insured,Amount In Lac._Farmers Premium,Amount In Lac._State Premium,Amount In Lac._GOI Premium,Sum Insured (In Lac.),Gender (%)_Male,Gender (%)_Female,Gender (%)_Others,Category (%)_SC,Category (%)_ST,Category (%)_OBC,Category (%)_GEN,Type of Farmer (%)_Marginal,Type of Farmer (%)_Small,Type of Farmer (%)_Others,Claim Paid (In Lac.)_Prevented Sowing,Claim Paid (In Lac.)_Localized,Claim Paid (In Lac.)_Mid-term,Claim Paid (In Lac.)_Yield Based,Claim Paid (In Lac.)_Post Harvest,Claim Paid (In Lac.)_WBCIS,Claim Paid (In Lac.)_Total Claim Paid,Claim Paid (In Lac.)_Total Farmer Benefit(Actual)
1,RAJASTHAN,2023,2,2,Ajmer,508,"86,022","5,83,916","24,190",115.9,"1,242.58","2,821.36","2,821.36","77,874.83",85,14.88,0.12,7.28,3.64,77.4,11.68,14.13,63.62,22.25,0,0,0,"8,627",0,0,"8,627","48,755"
2,RAJASTHAN,2023,2,2,Alwar,519,"61,202","5,32,505","1,075",55.61,890.58,299.47,299.47,"59,374.12",92.46,7.45,0.09,4.88,10.72,62.96,21.44,28.94,61.31,9.75,0,0,0,0,11,0,11,49
3,RAJASTHAN,2023,2,2,Banswara,294,"39,632","2,63,591",232,28.53,231.71,282.65,282.65,"15,448.43",91.43,8.53,0.04,3.03,58.35,27.21,11.41,29.96,54.32,15.72,0,0,0,181,0,0,181,"5,679"
4,RAJASTHAN,2023,2,2,Baran,250,"57,777","2,70,103",19,96.65,"1,573.57","1,222.46","1,222.46","99,149.34",85.27,14.68,0.05,7.47,23.48,55.78,13.27,25.61,49.47,24.92,0,0,0,513,29,0,542,"9,016"
5,RAJASTHAN,2023,2,2,Barmer,317,"77,699","2,31,086","2,688",107.3,"3,105.35","1,210.00","1,210.00","66,384.04",88.69,10.94,0.37,8.73,2.57,73.08,15.62,12.78,39.45,47.77,0,0,0,"3,546",78,0,"3,624","34,342"
6,RAJASTHAN,2023,2,2,Bharatpur,504,"61,460","15,67,892","1,394",73.32,"1,148.88","1,054.98","1,054.98","76,597.38",91.72,8.24,0.04,4.09,1.83,50.27,43.81,30.91,48.12,20.97,0,0,0,20,7,0,27,536
7,RAJASTHAN,2023,2,2,Bhilwara,484,"99,763","5,61,579",253,98.45,"1,163.68","1,121.70","1,121.70","77,559.51",88.2,11.71,0.09,10.51,10.98,61.3,17.21,17.16,63.25,19.59,0,0,0,"6,441",9,0,"6,450","39,671"
8,RAJASTHAN,2023,2,2,Bikaner,336,"73,263","5,89,705","29,810",282.16,"2,781.53","3,441.84","3,441.84","1,60,002.82",78.1,21.66,0.24,11.35,0.7,61.72,26.23,6.57,32.52,60.91,0,0,0,"8,209",143,0,"8,352","20,457"
9,RAJASTHAN,2023,2,2,Bundi,242,"64,746","3,32,087","4,135",91.88,"1,278.54",374.4,374.4,"85,237.24",88.41,11.52,0.07,8.46,33.97,45.43,12.14,24.3,61.91,13.79,0,0,0,97,48,0,145,963
10,RAJASTHAN,2023,2,2,Chittorgarh,328,"1,12,071","6,07,065",621,100.53,"1,550.01","1,624.03","1,624.03","94,033.17",88.15,11.82,0.03,7.64,5.65,67.24,19.47,23.46,58.44,18.1,0,0,0,"5,371",170,0,"5,541","59,439"
11,RAJASTHAN,2023,2,2,Churu,275,"1,83,238","5,72,452","79,230",662.72,"3,594.12","23,309.44","23,309.44","2,26,163.66",82.19,17.66,0.15,9.69,0.72,61.18,28.41,12.66,42.13,45.21,0,0,0,"26,565",232,0,"26,797","63,602"
12,RAJASTHAN,2023,2,2,Dausa,278,"25,941","2,08,183",647,17.3,248.79,212.04,212.04,"16,586.55",91.81,8.17,0.02,5.01,44.33,30.16,20.5,38.48,49.78,11.74,0,0,0,30,16,0,46,"1,391"
13,RAJASTHAN,2023,2,2,Dholpur,209,"7,769","61,762",32,6.3,99.99,174.27,174.27,"6,665.90",90.36,9.62,0.02,7.13,3.62,33.78,55.47,28.63,54.98,16.39,0,0,0,4,0,0,4,347
14,RAJASTHAN,2023,2,2,Dungarpur,230,"27,466","3,13,440",89,20.56,150.7,81.05,81.05,"10,048.02",93.75,6.21,0.04,1.75,33.47,39.72,25.06,34.24,55.53,10.23,0,0,0,15,1,0,16,611
15,RAJASTHAN,2023,2,2,Hanumangarh,312,"1,37,083","19,53,009","5,85,324",386.65,"3,796.50","13,709.52","13,709.52","2,53,108.39",83.64,16.12,0.24,7.39,0.37,80.58,11.66,13.81,61.36,24.83,0,0,0,"12,236",147,0,"12,383","48,049"
16,RAJASTHAN,2023,2,2,Jaipur,627,"1,25,102","12,36,143","8,490",127.59,"1,440.38","1,325.22","1,325.22","96,029.34",89.06,10.9,0.04,4.35,7.04,69.99,18.62,29.57,47.27,23.16,0,0,0,552,329,0,881,"8,303"
17,RAJASTHAN,2023,2,2,Jaisalmer,262,"44,321","96,826","2,024",176.99,"2,497.77","2,406.98","2,406.98","1,00,133.03",77.74,21.84,0.42,7.47,2.64,38.81,51.08,4.48,23.78,71.74,0,0,0,"3,593",108,0,"3,701","5,070"
18,RAJASTHAN,2023,2,2,Jalore,292,"1,15,351","5,25,511","47,014",230.18,"6,937.71","5,044.75","5,044.75","1,78,677.95",90.09,9.69,0.22,10.54,3.42,55.36,30.68,12.71,44.13,43.16,0,0,0,"12,652","3,009",0,"15,661","45,284"
19,RAJASTHAN,2023,2,2,Jhalawar,341,"1,17,020","6,27,328",919,119.51,"2,845.45","1,279.76","1,279.76","1,20,455.18",88.07,11.86,0.07,5.66,9.01,68.09,17.24,23.58,55.87,20.55,0,0,0,168,445,0,613,"6,519"
20,RAJASTHAN,2023,2,2,Jhunjhunu,317,"1,08,697","5,39,575","2,008",138.42,"1,703.46","2,962.77","2,962.77","1,13,255.16",86.87,13.04,0.09,6.97,1.39,74.07,17.57,28.55,54.8,16.65,0,0,0,"6,127",3,0,"6,130","40,408"
21,RAJASTHAN,2023,2,2,Jodhpur,419,"62,432","1,84,569","10,487",107.64,"3,469.55","1,841.18","1,841.18","95,853.06",86.4,13.38,0.22,6.18,1.27,64,28.55,13.93,41.74,44.33,0,0,0,"5,358",86,0,"5,444","27,340"
22,RAJASTHAN,2023,2,2,Karauli,257,"14,148","1,18,510",733,11.94,176.69,97.92,97.92,"11,779.77",89.19,10.77,0.04,7.18,49.91,26.13,16.78,26.27,59.25,14.48,0,0,0,0,24,0,24,87
23,RAJASTHAN,2023,2,2,Kota,215,"66,462","2,57,590",84,83.57,"1,633.21","1,896.63","1,896.63","84,886.82",87.22,12.7,0.08,10.38,25.33,52.6,11.69,27,52.46,20.54,0,0,0,138,42,0,180,"4,245"
24,RAJASTHAN,2023,2,2,Nagaur,468,"58,258","1,96,561","28,857",144.73,"2,880.13","1,596.22","1,596.22","1,02,577.52",89.29,10.61,0.1,6.36,1.84,73.24,18.56,16.83,40.54,42.63,0,0,0,"7,386",0,0,"7,386","18,438"
25,RAJASTHAN,2023,2,2,Pali,386,"68,054","1,66,267","2,174",82.9,981.71,773.43,773.43,"56,304.51",87.57,12.33,0.1,8.95,4.33,59.96,26.76,19.7,43.07,37.23,0,0,0,"1,951",59,0,"2,010","19,664"
26,RAJASTHAN,2023,2,2,Pratapgarh,199,"40,904","2,13,818",541,48.99,612.13,596.16,596.16,"40,476.56",88.69,11.25,0.06,6.4,36.34,39.12,18.14,20.98,57.07,21.95,0,0,0,759,37,0,796,"7,025"
27,RAJASTHAN,2023,2,2,Rajsamand,149,"20,974","74,772",108,13.71,149.58,182.5,182.5,"9,972.58",93.24,6.72,0.04,5.34,5.17,58.14,31.35,22.25,39.75,38,0,0,0,1,4,0,5,15
28,RAJASTHAN,2023,2,2,Sawai Madhopur,270,"42,357","3,07,692","1,705",43.03,605.33,513.6,513.6,"40,356.09",90.13,9.85,0.02,11.59,36.98,39.94,11.49,17.03,69.73,13.24,0,0,0,195,133,0,328,"4,036"
29,RAJASTHAN,2023,2,2,Sikar,319,"97,482","5,08,700","3,840",124.69,"1,389.13","1,609.16","1,609.16","91,026.92",88.15,11.79,0.06,3.31,2.42,76.81,17.46,24.01,60.8,15.19,0,0,0,800,56,0,856,"24,895"
30,RAJASTHAN,2023,2,2,Sirohi,155,"20,881","38,010",47,16.8,209.94,185.71,185.71,"12,232.48",89.05,10.85,0.1,14.37,8.81,37.01,39.81,19,58.05,22.95,0,0,0,156,1,0,157,"4,633"
31,RAJASTHAN,2023,2,2,Sri Ganganagar,437,"80,320","13,51,162","78,053",203.72,"2,703.22","2,379.56","2,379.56","1,80,218.91",80.57,19.27,0.16,10.34,0.43,76.36,12.87,15.53,49.47,35,0,0,0,"12,113",62,0,"12,175","11,700"
32,RAJASTHAN,2023,2,2,Tonk,328,"86,065","5,18,600","1,996",148.62,"1,971.74","1,209.14","1,209.14","1,31,450.98",89.26,10.65,0.09,10.38,16.96,60.7,11.96,15.61,64.37,20.02,0,0,0,177,"1,014",0,"1,191","4,204"
33,RAJASTHAN,2023,2,2,Udaipur,389,"35,192","2,53,915",431,30.65,279.43,240.2,240.2,"18,629.64",92.13,7.81,0.06,2.74,20.89,42.71,33.66,23.08,57.67,19.25,0,0,0,63,2,0,65,"1,671"
1,UTTAR PRADESH,2023,2,2,Agra,2,5,8,2,0.01,0.155,0,0,3.1,90,10,0,0,0,0,100,60,0,40,0,0,0,0,0,0,0,0
2,UTTAR PRADESH,2023,2,2,Aligarh,1,2,2,0,0,0.0853,0,0,2.84,50,50,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0
3,UTTAR PRADESH,2023,2,2,Amroha,3,17,50,0,0.04,1.33,0.2585,0.2585,26.52,94,6,0,0,0,4,96,28,36,36,0,0,0,0,0,0,0,0
4,UTTAR PRADESH,2023,2,2,Azamgarh,5,53,0,56,0,0.0395,0,0,1.32,76.79,23.21,0,5.36,7.14,73.21,14.29,1.79,98.21,0,0,0,0,0,0,0,0,0
5,UTTAR PRADESH,2023,2,2,Baghpat,2,31,0,42,0,0.0698,0,0,2.33,80.95,19.05,0,0,0,71.43,28.57,0,100,0,0,0,0,0,0,0,0,0
6,UTTAR PRADESH,2023,2,2,Ballia,11,39,0,47,0,0.0385,0,0,1.54,76.6,23.4,0,4.26,2.13,57.45,36.16,0,100,0,0,0,0,0,0,0,0,0
7,UTTAR PRADESH,2023,2,2,Balrampur,5,8,42,0,0.02,0.6902,0.3451,0.3451,13.8,97.62,2.38,0,95.24,0,0,4.76,30.95,61.9,7.15,0,0,0,0,0,0,0,0
8,UTTAR PRADESH,2023,2,2,Barabanki,1,49,53,0,0.02,0.4267,0.2134,0.2134,8.53,88.68,11.32,0,1.89,7.55,11.32,79.24,39.62,60.38,0,0,0,0,0,0,0,0,49
9,UTTAR PRADESH,2023,2,2,Bijnor,3,2,8,0,0,0.1698,0.0331,0.0331,3.4,100,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,1
10,UTTAR PRADESH,2023,2,2,Bulandshahr,4,28,5,28,0.02,0.3239,0,0,10.8,81.82,18.18,0,0,0,51.52,48.48,24.24,60.61,15.15,0,0,0,0,0,0,0,0
11,UTTAR PRADESH,2023,2,2,Deoria,2,18,0,19,0,0.0057,0,0,0.1909,89.47,10.53,0,0,0,68.42,31.58,0,100,0,0,0,0,0,0,0,0,0
12,UTTAR PRADESH,2023,2,2,Firozabad,5,72,77,10,0.04,0.9769,0.1754,0.1754,19.54,85.06,14.94,0,24.14,0,20.69,55.17,26.44,67.82,5.74,0,0,0,0,0,0,0,20
13,UTTAR PRADESH,2023,2,2,Ghaziabad,1,30,0,33,0,0.0324,0.0065,0.0065,0.649,93.94,6.06,0,3.03,0,24.24,72.73,30.3,66.67,3.03,0,0,0,0,0,0,0,0
14,UTTAR PRADESH,2023,2,2,Hamirpur,2,24,0,43,0.04,1.23,0,0,24.6,69.77,30.23,0,0,0,67.44,32.56,16.28,79.07,4.65,0,0,0,0,0,0,0,0
15,UTTAR PRADESH,2023,2,2,Hapur,3,82,57,29,0.01,0.1513,0,0,5.04,84.88,15.12,0,2.33,0,53.49,44.18,62.79,37.21,0,0,0,0,0,0,0,0,0
16,UTTAR PRADESH,2023,2,2,Jalaun,4,87,97,2,0.07,2.54,1.14,1.14,50.88,83.84,16.16,0,15.15,0,72.73,12.12,12.12,82.83,5.05,0,0,0,0,0,0,0,0
17,UTTAR PRADESH,2023,2,2,Kanpur Nagar,1,1,0,1,0,0.0003,0.0001,0.0001,0.007,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1
18,UTTAR PRADESH,2023,2,2,Lucknow,3,292,500,14,0.13,3.92,0,0,88.35,93.97,6.03,0,21.6,0,40.86,37.54,57,27.04,15.96,0,0,0,0,0,15,15,192
19,UTTAR PRADESH,2023,2,2,Meerut,3,9,10,8,0.01,0.2816,0.0038,0.0038,6.85,55.56,44.44,0,0,0,5.56,94.44,22.22,22.22,55.56,0,0,0,0,0,0,0,0
20,UTTAR PRADESH,2023,2,2,Muzaffarnagar,6,54,48,50,0.06,1.98,0.3955,0.3955,39.55,93.88,6.12,0,8.16,0,46.94,44.9,9.18,67.35,23.47,0,0,0,0,0,0,0,0
21,UTTAR PRADESH,2023,2,2,Saharanpur,4,58,99,36,0.06,1.68,0.003,0.003,41.96,81.48,18.52,0,12.59,4.44,38.52,44.45,21.48,57.04,21.48,0,0,0,0,0,0,0,0
22,UTTAR PRADESH,2023,2,2,Sambhal,2,4,16,0,0.01,0.2278,0.1253,0.1253,4.56,56.25,43.75,0,0,0,43.75,56.25,68.75,31.25,0,0,0,0,0,0,0,0,0
23,UTTAR PRADESH,2023,2,2,Shamli,1,3,0,3,0,0.0009,0,0,0.019,100,0,0,0,0,66.67,33.33,66.67,33.33,0,0,0,0,0,0,0,0,0
24,UTTAR PRADESH,2023,2,2,Shravasti,1,4,29,0,0.01,0.5085,0.2543,0.2543,10.17,100,0,0,100,0,0,0,20.69,27.59,51.72,0,0,0,0,0,0,0,0
25,UTTAR PRADESH,2023,2,2,Sitapur,1,2,12,0,0,0.008,0,0,0.399,100,0,0,0,0,100,0,91.67,0,8.33,0,0,0,0,0,0,0,0
26,UTTAR PRADESH,2023,2,2,Sonbhadra,1,1,3,0,0,0.03,0.0135,0.0135,0.6,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1
27,UTTAR PRADESH,2023,2,2,Unnao,4,6,33,0,0.01,0.2497,0,0,8.32,100,0,0,81.82,0,0,18.18,39.39,42.42,18.19,0,0,0,0,0,1,1,4
1,UTTARAKHAND,2023,2,2,Almora,528,"2,669","2,588",189,0.49,3.8,2.66,23.93,253.2,97.66,2.34,0,16.74,0.25,1.12,81.89,14.26,85.52,0.22,0,0,0,1,0,0,1,49
2,UTTARAKHAND,2023,2,2,Bageshwar,248,"2,320","2,102",614,0.27,1.95,1.37,12.29,130.01,94.81,5.19,0,26.99,4.49,3.13,65.39,14.18,85.53,0.29,0,0,0,0,0,0,0,1
3,UTTARAKHAND,2023,2,2,Chamoli,190,728,508,234,0.22,1.58,0.791,7.12,105.47,95.69,4.31,0,13.21,1.75,5.66,79.38,25.2,74.66,0.14,0,0,0,0,0,0,0,0
4,UTTARAKHAND,2023,2,2,Champawat,79,258,134,157,0.06,0.4396,0.3078,2.77,29.31,92.78,7.22,0,12.37,0.34,0,87.29,20.96,78.69,0.35,0,0,0,0,0,0,0,0
5,UTTARAKHAND,2023,2,2,Dehradun,290,"3,903","3,900",249,1.58,17.56,8.78,79.01,"1,170.58",93.9,6.03,0.07,9.74,30.68,14.34,45.24,33.16,66.06,0.78,0,1,0,0,0,0,1,63
6,UTTARAKHAND,2023,2,2,Haridwar,150,404,390,173,0.13,1.77,0.8832,7.95,117.76,92.54,7.46,0,7.1,0.36,49.2,43.34,19.72,75.49,4.79,0,2,0,0,0,0,2,54
7,UTTARAKHAND,2023,2,2,Nainital,138,985,"1,079",151,0.33,3.62,2.54,22.83,241.54,88.86,11.14,0,15.28,1.14,2.68,80.9,27.24,65.61,7.15,0,2,0,0,0,0,2,2
8,UTTARAKHAND,2023,2,2,Pauri Garhwal,508,"3,522",228,"7,222",0.21,1.62,0.9284,8.36,108.13,77.37,22.55,0.08,7.87,0.52,0.89,90.72,14.47,85.46,0.07,0,0,0,3,0,0,3,"3,253"
9,UTTARAKHAND,2023,2,2,Pithoragarh,343,"2,322","1,228","1,317",0.53,4.4,3.09,27.77,293.12,90.14,9.82,0.04,28.41,1.53,2.91,67.15,16.23,82.67,1.1,0,0,0,6,0,0,6,"1,469"
10,UTTARAKHAND,2023,2,2,Rudraprayag,185,"1,000",340,665,0.27,1.93,0.9654,8.69,128.71,85.27,14.63,0.1,10.55,0.4,1,88.05,10.65,87.16,2.19,0,0,0,0,0,0,0,0
11,UTTARAKHAND,2023,2,2,Tehri Garhwal,768,"5,243","4,425","1,032",0.44,2.98,1.49,13.41,198.59,92.38,7.6,0.02,6.82,0.7,33.55,58.93,32.77,66.3,0.93,0,1,0,0,0,0,1,0
12,UTTARAKHAND,2023,2,2,Udham Singh Nagar,305,"1,718","2,581",30,1.9,23.04,2.3,20.74,"1,536.23",89.16,10.84,0,3.68,11.99,12.37,71.96,27.42,51.59,20.99,0,1,0,0,0,0,1,3
13,UTTARAKHAND,2023,2,2,Uttarkashi,263,"1,711","1,668",63,0.61,6.38,3.19,28.7,425.23,93.41,6.59,0,11.27,0.75,72.56,15.42,65.11,33.97,0.92,0,73,0,0,0,0,73,0
1,ANDAMAN & NICOBAR ISLANDS,2024,1,4,North And Middle Andaman,7,145,146,0,0.1,0.3921,2.35,1.18,78.42,84.25,15.75,0,0,0,47.26,52.74,0,100,0,0,0,0,2,0,0,2,39
2,ANDAMAN & NICOBAR ISLANDS,2024,1,4,South Andamans,2,4,4,0,0,0.013,0.0782,0.0391,2.61,50,50,0,0,0,75,25,0,100,0,0,0,0,0,0,0,0,0
1,ANDHRA PRADESH,2024,1,4,Alluri Sitharama Raju,"2,332","68,134",0,"1,47,856",67.35,0,"1,099.13",0,"72,602.99",75.62,24.38,0,0.15,96.47,1.54,1.84,0,100,0,0,0,0,1,0,0,1,94
2,ANDHRA PRADESH,2024,1,4,Anakapalli,654,"1,31,420",0,"4,48,594",53.22,0,111.76,0,"55,880.34",75.54,24.45,0.01,0.69,1,69.44,28.87,0,100,0,0,0,0,2,0,0,2,220
3,ANDHRA PRADESH,2024,1,4,Anantapur,512,"1,33,795",0,"2,06,663",168.14,0,574.45,0,"1,24,925.26",69.39,30.56,0.05,5.61,2.41,47.65,44.33,0,100,0,0,0,0,427,0,0,427,"61,228"
4,ANDHRA PRADESH,2024,1,4,Annamayya,30,"26,954",0,"49,129",10.65,0,212.63,0,"10,734.19",78.43,21.56,0.01,4.92,1.45,36.17,57.46,0,100,0,0,0,0,0,0,0,0,0
5,ANDHRA PRADESH,2024,1,4,Bapatla,232,"1,04,181",0,"3,01,607",89.58,0,"2,210.35",371.81,"91,926.82",67.36,32.63,0.01,10.86,0.7,32.51,55.93,0,100,0,0,0,0,215,0,0,215,"6,410"
6,ANDHRA PRADESH,2024,1,4,Chittoor,31,"32,412",0,"55,457",11.82,0,231.23,0.8414,"11,699.06",76.17,23.81,0.02,7.74,0.92,44.23,47.11,0,100,0,0,0,0,0,0,0,0,0
7,ANDHRA PRADESH,2024,1,4,Dr.B.R.Ambedkar Konaseema,284,"85,029",0,"2,17,376",60.68,0,115.29,0,"57,644.28",74.41,25.57,0.02,9.48,0.14,28.62,61.76,0,100,0,0,0,0,36,0,0,36,"1,973"
8,ANDHRA PRADESH,2024,1,4,East Godavari,263,"72,446",0,"1,87,998",71.29,0,"1,002.45",0,"66,829.92",75.62,24.37,0.01,4.15,0.24,22.73,72.88,0,100,0,0,0,0,18,0,0,18,768
9,ANDHRA PRADESH,2024,1,4,Eluru,521,"76,315",0,"1,98,179",76.62,0,"2,738.21","1,165.01","78,990.66",78.35,21.63,0.02,8.2,3.42,39.92,48.46,0,100,0,0,0,0,160,0,0,160,"2,128"
10,ANDHRA PRADESH,2024,1,4,Guntur,172,"59,392",0,"1,71,648",58.16,0,"1,612.48",341.35,"60,731.32",71.33,28.67,0,11.06,0.56,23.06,65.32,0,100,0,0,0,0,39,0,0,39,"1,726"
11,ANDHRA PRADESH,2024,1,4,Kakinada,369,"1,18,596",0,"2,60,355",82.19,0,"2,022.31",460.68,"78,081.31",70.19,29.8,0.01,3.41,0.29,33.88,62.42,0,100,0,0,0,0,153,0,0,153,"4,305"
12,ANDHRA PRADESH,2024,1,4,Krishna,468,"1,36,645",0,"3,71,019",137.86,0,"3,895.95","1,022.10","1,46,405.96",70.96,29.03,0.01,6.49,0.21,32.13,61.17,0,100,0,0,0,0,390,0,0,390,"5,535"
13,ANDHRA PRADESH,2024,1,4,Kurnool,343,"1,60,244",0,"2,64,106",154.12,0,480.31,0,"1,59,092.52",74.29,25.67,0.04,8.85,1.3,69.54,20.31,0,100,0,0,0,0,0,0,0,0,9
14,ANDHRA PRADESH,2024,1,4,Nandyal,431,"1,58,130",0,"3,24,704",188.67,0,"4,040.85",741.44,"1,59,405.47",75.09,24.9,0.01,9.53,2.1,43.45,44.92,0,100,0,0,0,0,0,0,0,0,0
15,ANDHRA PRADESH,2024,1,4,Ntr,313,"69,308",0,"1,54,882",66.2,0,"1,613.65",0,"82,658.24",76.81,23.19,0,11.5,4.19,30.25,54.06,0,100,0,0,0,0,531,0,0,531,"8,254"
16,ANDHRA PRADESH,2024,1,4,Palnadu,312,"1,01,727",0,"2,07,535",94.24,0,424.01,0,"1,28,225.67",76.91,23.08,0.01,4.62,6.17,24.75,64.46,0,100,0,0,0,0,2,0,0,2,671
17,ANDHRA PRADESH,2024,1,4,Parvathipuram Manyam,934,"82,974",0,"4,17,217",72.79,0,"1,705.51",305.99,"71,953.50",76.87,23.09,0.04,1.84,9.68,82.4,6.08,0,100,0,0,0,0,0,0,0,0,0
18,ANDHRA PRADESH,2024,1,4,Prakasam,382,"1,05,534",0,"2,14,160",110.33,0,"4,111.34",677.67,"99,742.79",72.91,27.08,0.01,4.86,1.52,24.09,69.53,0,100,0,0,0,0,0,0,0,0,0
19,ANDHRA PRADESH,2024,1,4,Spsr Nellore,360,"12,837",0,"32,436",17.7,0,330.85,0,"17,562.75",77.18,22.81,0.01,6.54,0.99,36.65,55.82,0,100,0,0,0,0,4,0,0,4,119
20,ANDHRA PRADESH,2024,1,4,Sri Sathya Sai,476,"1,00,814",0,"1,76,983",75.3,0,247.99,0,"49,235.47",75.3,24.64,0.06,5.03,3.6,50.84,40.53,0,100,0,0,0,0,0,0,0,0,0
21,ANDHRA PRADESH,2024,1,4,Srikakulam,"1,401","2,35,527",0,"12,12,343",142.23,0,551.53,0,"1,40,933.26",77.51,22.44,0.05,1.38,2.76,83.3,12.56,0,100,0,0,0,0,1,0,0,1,380
22,ANDHRA PRADESH,2024,1,4,Tirupati,649,"22,053",0,"95,231",20.58,0,82.15,0,"20,536.80",77.15,22.83,0.02,7.15,0.87,40.49,51.49,0,100,0,0,0,0,0,0,0,0,0
23,ANDHRA PRADESH,2024,1,4,Visakhapatanam,4,"8,673",0,"36,696",4.22,0,44.34,0,"4,434.37",79.79,20.21,0,0.82,0.03,89.12,10.03,0,100,0,0,0,0,0,0,0,0,0
24,ANDHRA PRADESH,2024,1,4,Vizianagaram,968,"1,55,144",0,"10,43,088",101.03,0,499.16,0,"99,832.24",77.19,22.79,0.02,1,0.34,89.43,9.23,0,100,0,0,0,0,0,0,0,0,0
25,ANDHRA PRADESH,2024,1,4,West Godavari,276,"87,618",0,"2,72,215",75.27,0,395.17,0,"79,034.75",75.53,24.47,0,5.83,0.11,31.3,62.76,0,100,0,0,0,0,0,0,0,0,0
26,ANDHRA PRADESH,2024,1,4,Y.S.R.,443,"59,578",0,"1,29,304",52.66,0,94.9,0,"47,451.86",71.88,28.11,0.01,4.36,0.57,23.74,71.33,0,100,0,0,0,0,6,0,0,6,"3,150"
1,ASSAM,2024,1,4,Bajali,29,"5,474",397,"5,222",3.57,5.46,58.83,141.91,"2,426.15",78.85,21.13,0.02,6.71,3.33,12.58,77.38,18.24,77.86,3.9,0,0,0,19,0,0,19,135
2,ASSAM,2024,1,4,Baksa,8,"12,491",673,"19,441",11.33,12.75,149.79,105.72,"7,463.45",66,33.98,0.02,10.03,45.52,19.42,25.03,27.56,70.83,1.61,0,0,0,9,0,0,9,"3,079"
3,ASSAM,2024,1,4,Barpeta,99,"56,767","2,700","58,354",41.44,55.91,585.37,919.05,"26,912.93",67.9,32.03,0.07,5.43,0.69,1.33,92.55,9.03,88.81,2.16,0,2,0,190,0,0,192,"3,340"
4,ASSAM,2024,1,4,Biswanath,77,"11,136",907,"14,962",9.7,11.27,122.3,57.24,"6,360.01",79.94,20.01,0.05,9.59,7.79,9.72,72.9,69.46,29.19,1.35,0,0,0,0,0,0,0,0
5,ASSAM,2024,1,4,Bongaigaon,70,"18,192","1,459","32,279",12.66,19.48,180.8,352.9,"7,982.82",72.52,27.46,0.02,14.66,1.46,31.89,51.99,49.45,48.11,2.44,0,0,0,58,0,0,58,"5,264"
6,ASSAM,2024,1,4,Cachar,160,"22,693","3,263","19,746",15.19,23,193.73,92.88,"10,320.04",81.89,18.11,0,17.62,3.61,24.14,54.63,8.3,90.66,1.04,0,0,0,440,0,0,440,"8,016"
7,ASSAM,2024,1,4,Charaideo,36,"7,621","1,461","6,272",5.81,7.77,72.91,15.28,"3,948.97",72.24,27.71,0.05,2.69,4.09,80.53,12.69,7.98,91.05,0.97,0,0,0,206,0,0,206,"2,571"
8,ASSAM,2024,1,4,Chirang,3,"7,317",876,"12,030",6.66,5.61,88.25,40.77,"4,456.99",71.46,28.48,0.06,6.3,45.03,19.39,29.28,15.27,84.1,0.63,0,0,0,0,0,0,0,0
9,ASSAM,2024,1,4,Darrang,75,"22,123",799,"30,219",18.48,22.18,262.12,269.62,"12,189.61",84.35,15.6,0.05,0.39,0.43,3.51,95.67,1.73,95.64,2.63,0,0,0,25,0,0,25,305
10,ASSAM,2024,1,4,Dhemaji,65,"16,145",604,"15,806",11.99,16.45,173.33,241.91,"8,145.29",61.44,38.48,0.08,7.78,51.2,35.01,6.01,36.19,59.76,4.05,0,0,0,0,0,0,0,0
11,ASSAM,2024,1,4,Dhubri,132,"28,323","1,447","36,275",20.6,28.91,343.45,539.83,"13,128.77",82.99,16.98,0.03,1.83,0.23,17.7,80.24,28.84,67.57,3.59,0,0,0,47,0,0,47,623
12,ASSAM,2024,1,4,Dibrugarh,93,"24,820","5,726","19,506",22.14,25.06,290.76,135.35,"15,039.10",65.23,34.72,0.05,2.93,9.92,56.48,30.67,54.9,40.91,4.19,0,0,0,0,0,0,0,0
13,ASSAM,2024,1,4,Dima Hasao,5,"1,288",26,"1,464",0.97,1.28,12.01,2.59,650.1,45.77,54.23,0,0,97.72,1.74,0.54,0.67,99.33,0,0,0,0,0,0,0,0,0
14,ASSAM,2024,1,4,Goalpara,81,"34,512","1,412","52,956",24.59,34.52,280.55,51.62,"15,393.82",73.32,26.66,0.02,4.98,12.81,7.15,75.06,59.49,38.46,2.05,0,0,0,758,0,0,758,"13,275"
15,ASSAM,2024,1,4,Golaghat,102,"24,677","2,121","26,839",19.18,26.28,231.54,0,"12,890.84",69.63,30.33,0.04,7.03,14.49,50.97,27.51,19.05,79.44,1.51,0,0,0,0,0,0,0,6
16,ASSAM,2024,1,4,Hailakandi,62,"22,014",983,"21,690",18.2,22.84,224.34,0,"12,359.03",83.52,16.45,0.03,5.57,0.32,6.55,87.56,39.47,56.6,3.93,0,0,0,0,0,0,0,0
